Alpha 0.200000 Lam1 0.010000 Lam2 7.000000 AC   0.7840 NMI   0.2800 Time   2.3825
Alpha 0.200000 Lam1 0.010000 Lam2 8.000000 AC   0.7780 NMI   0.2759 Time   2.3294
Alpha 0.200000 Lam1 0.010000 Lam2 9.000000 AC   0.7780 NMI   0.2759 Time   2.2507
Alpha 0.200000 Lam1 0.010000 Lam2 10.000000 AC   0.7740 NMI   0.2738 Time   2.2061
Alpha 0.200000 Lam1 0.100000 Lam2 0.000000 AC   0.4460 NMI   0.3192 Time  13.3247
Alpha 0.200000 Lam1 0.100000 Lam2 0.100000 AC   0.5580 NMI   0.3120 Time   1.9135
Alpha 0.200000 Lam1 0.100000 Lam2 1.000000 AC   0.7610 NMI   0.3748 Time   0.9220
Alpha 0.200000 Lam1 0.100000 Lam2 2.000000 AC   0.7850 NMI   0.3428 Time   1.1369
Alpha 0.200000 Lam1 0.100000 Lam2 3.000000 AC   0.7600 NMI   0.3068 Time   1.4591
Alpha 0.200000 Lam1 0.100000 Lam2 4.000000 AC   0.7520 NMI   0.3279 Time   1.5275
Alpha 0.200000 Lam1 0.100000 Lam2 5.000000 AC   0.7430 NMI   0.3013 Time   1.2773
Alpha 0.200000 Lam1 0.100000 Lam2 6.000000 AC   0.7430 NMI   0.2488 Time   1.2301
Alpha 0.200000 Lam1 0.100000 Lam2 7.000000 AC   0.7390 NMI   0.2477 Time   1.0794
Alpha 0.200000 Lam1 0.100000 Lam2 8.000000 AC   0.7310 NMI   0.2461 Time   1.0699
Alpha 0.200000 Lam1 0.100000 Lam2 9.000000 AC   0.7500 NMI   0.3033 Time   1.0875
Alpha 0.200000 Lam1 0.100000 Lam2 10.000000 AC   0.7480 NMI   0.3026 Time   1.0952
Alpha 0.200000 Lam1 0.200000 Lam2 0.000000 AC   0.4460 NMI   0.3121 Time  14.8390
Alpha 0.200000 Lam1 0.200000 Lam2 0.100000 AC   0.5930 NMI   0.3218 Time   2.3336
Alpha 0.200000 Lam1 0.200000 Lam2 1.000000 AC   0.7510 NMI   0.3669 Time   0.9685
Alpha 0.200000 Lam1 0.200000 Lam2 2.000000 AC   0.7640 NMI   0.3923 Time   0.8491
Alpha 0.200000 Lam1 0.200000 Lam2 3.000000 AC   0.7530 NMI   0.3280 Time   0.8385
Alpha 0.200000 Lam1 0.200000 Lam2 4.000000 AC   0.7430 NMI   0.3013 Time   0.9109
Alpha 0.200000 Lam1 0.200000 Lam2 5.000000 AC   0.7460 NMI   0.3022 Time   0.9865
Alpha 0.200000 Lam1 0.200000 Lam2 6.000000 AC   0.7510 NMI   0.2597 Time   0.8599
Alpha 0.200000 Lam1 0.200000 Lam2 7.000000 AC   0.7700 NMI   0.2689 Time   0.7466
Alpha 0.200000 Lam1 0.200000 Lam2 8.000000 AC   0.7720 NMI   0.2699 Time   0.6774
Alpha 0.200000 Lam1 0.200000 Lam2 9.000000 AC   0.7710 NMI   0.2724 Time   0.6592
Alpha 0.200000 Lam1 0.200000 Lam2 10.000000 AC   0.7720 NMI   0.2728 Time   1.2037
Alpha 0.200000 Lam1 0.300000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.2193
Alpha 0.200000 Lam1 0.300000 Lam2 0.100000 AC   0.6050 NMI   0.3243 Time   2.3627
Alpha 0.200000 Lam1 0.300000 Lam2 1.000000 AC   0.7510 NMI   0.3669 Time   1.0386
Alpha 0.200000 Lam1 0.300000 Lam2 2.000000 AC   0.7620 NMI   0.3851 Time   0.7161
Alpha 0.200000 Lam1 0.300000 Lam2 3.000000 AC   0.7670 NMI   0.3929 Time   0.8072
Alpha 0.200000 Lam1 0.300000 Lam2 4.000000 AC   0.7630 NMI   0.2660 Time   0.5007
Alpha 0.200000 Lam1 0.300000 Lam2 5.000000 AC   0.7720 NMI   0.2699 Time   0.5316
Alpha 0.200000 Lam1 0.300000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.5174
Alpha 0.200000 Lam1 0.300000 Lam2 7.000000 AC   0.7720 NMI   0.2728 Time   0.5461
Alpha 0.200000 Lam1 0.300000 Lam2 8.000000 AC   0.7720 NMI   0.2728 Time   0.5148
Alpha 0.200000 Lam1 0.300000 Lam2 9.000000 AC   0.7720 NMI   0.2728 Time   0.5480
Alpha 0.200000 Lam1 0.300000 Lam2 10.000000 AC   0.7780 NMI   0.2759 Time   0.5282
Alpha 0.200000 Lam1 0.400000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.6100
Alpha 0.200000 Lam1 0.400000 Lam2 0.100000 AC   0.6410 NMI   0.3291 Time   2.4599
Alpha 0.200000 Lam1 0.400000 Lam2 1.000000 AC   0.7520 NMI   0.3676 Time   1.3705
Alpha 0.200000 Lam1 0.400000 Lam2 2.000000 AC   0.7570 NMI   0.3756 Time   0.9113
Alpha 0.200000 Lam1 0.400000 Lam2 3.000000 AC   0.7630 NMI   0.3770 Time   0.5004
Alpha 0.200000 Lam1 0.400000 Lam2 4.000000 AC   0.7880 NMI   0.3257 Time   0.4801
Alpha 0.200000 Lam1 0.400000 Lam2 5.000000 AC   0.7710 NMI   0.2724 Time   0.4408
Alpha 0.200000 Lam1 0.400000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.5428
Alpha 0.200000 Lam1 0.400000 Lam2 7.000000 AC   0.7720 NMI   0.2728 Time   0.5977
Alpha 0.200000 Lam1 0.400000 Lam2 8.000000 AC   0.7780 NMI   0.2759 Time   0.6101
Alpha 0.200000 Lam1 0.400000 Lam2 9.000000 AC   0.7780 NMI   0.2759 Time   0.5827
Alpha 0.200000 Lam1 0.400000 Lam2 10.000000 AC   0.7780 NMI   0.2759 Time   0.5337
Alpha 0.200000 Lam1 0.500000 Lam2 0.000000 AC   0.4470 NMI   0.3094 Time  16.9911
Alpha 0.200000 Lam1 0.500000 Lam2 0.100000 AC   0.6570 NMI   0.3326 Time   2.3545
Alpha 0.200000 Lam1 0.500000 Lam2 1.000000 AC   0.7510 NMI   0.3669 Time   0.9907
Alpha 0.200000 Lam1 0.500000 Lam2 2.000000 AC   0.7570 NMI   0.3756 Time   0.7507
Alpha 0.200000 Lam1 0.500000 Lam2 3.000000 AC   0.7630 NMI   0.3768 Time   0.4715
Alpha 0.200000 Lam1 0.500000 Lam2 4.000000 AC   0.8000 NMI   0.3561 Time   0.4365
Alpha 0.200000 Lam1 0.500000 Lam2 5.000000 AC   0.7710 NMI   0.2724 Time   0.4765
Alpha 0.200000 Lam1 0.500000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.4600
Alpha 0.200000 Lam1 0.500000 Lam2 7.000000 AC   0.7780 NMI   0.2759 Time   0.4775
Alpha 0.200000 Lam1 0.500000 Lam2 8.000000 AC   0.7780 NMI   0.2759 Time   0.4961
Alpha 0.200000 Lam1 0.500000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5083
Alpha 0.200000 Lam1 0.500000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.5615
Alpha 0.200000 Lam1 0.600000 Lam2 0.000000 AC   0.4470 NMI   0.3094 Time  17.6077
Alpha 0.200000 Lam1 0.600000 Lam2 0.100000 AC   0.6610 NMI   0.3334 Time   2.3590
Alpha 0.200000 Lam1 0.600000 Lam2 1.000000 AC   0.7520 NMI   0.3676 Time   0.9750
Alpha 0.200000 Lam1 0.600000 Lam2 2.000000 AC   0.7530 NMI   0.3723 Time   0.6530
Alpha 0.200000 Lam1 0.600000 Lam2 3.000000 AC   0.7630 NMI   0.3766 Time   0.4608
Alpha 0.200000 Lam1 0.600000 Lam2 4.000000 AC   0.8020 NMI   0.3575 Time   0.4257
Alpha 0.200000 Lam1 0.600000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.4584
Alpha 0.200000 Lam1 0.600000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.4704
Alpha 0.200000 Lam1 0.600000 Lam2 7.000000 AC   0.7780 NMI   0.2759 Time   0.4968
Alpha 0.200000 Lam1 0.600000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   0.5137
Alpha 0.200000 Lam1 0.600000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5743
Alpha 0.200000 Lam1 0.600000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.4051
Alpha 0.200000 Lam1 0.700000 Lam2 0.000000 AC   0.4470 NMI   0.3094 Time  17.5818
Alpha 0.200000 Lam1 0.700000 Lam2 0.100000 AC   0.6620 NMI   0.3354 Time   2.2706
